column_number, radial distance, total stars, total sterilizations- at least sterilized once
393,11775,1824840,3960
394,11805,1803600,720
395,11835,1785240,8640
396,11865,1769760,9000
397,11895,1749960,3600
398,11925,1727280,12600
399,11955,1709280,12960
400,11985,1692360,5040
401,12015,1670760,3960
402,12045,1653480,2520
403,12075,1640160,1440
404,12105,1620000,3240
405,12135,1601640,3240
406,12165,1585080,9000
407,12195,1568160,5040
408,12225,1551600,1080
409,12255,1532520,6840
410,12285,1519920,2880
411,12315,1500480,0
412,12345,1484640,3240
413,12375,1470600,8280
414,12405,1452960,2160
415,12435,1433520,15120
416,12465,1418400,3600
417,12495,1407600,1080
418,12525,1393920,4680
419,12555,1377720,5760
420,12585,1361160,7560
421,12615,1345680,2520
422,12645,1330920,1440
423,12675,1317240,2520
424,12705,1300680,3240
425,12735,1290240,3600
426,12765,1271160,720
427,12795,1256760,6480
428,12825,1247400,2160
429,12855,1235160,1800
430,12885,1220040,5400
431,12915,1201320,1800
432,12945,1190160,3240
433,12975,1177560,720
434,13005,1168560,2880
435,13035,1152720,2880
436,13065,1138320,6840
437,13095,1129680,4320
438,13125,1116000,1440
439,13155,1105560,2520
440,13185,1087920,7560
441,13215,1081440,2880
442,13245,1066680,360
443,13275,1055160,1080
444,13305,1046160,360
445,13335,1033920,360
446,13365,1020600,2160
447,13395,1009440,720
448,13425,996480,3960
449,13455,990360,4320
450,13485,976680,1080
451,13515,968040,6480
452,13545,954360,0
453,13575,942840,0
454,13605,937800,1080
455,13635,925560,1440
456,13665,914040,360
457,13695,902880,720
458,13725,894600,1800
459,13755,881280,6480
460,13785,876960,1080
461,13815,865080,1800
462,13845,852480,0
463,13875,846720,1800
464,13905,837360,3240
465,13935,830520,360
466,13965,820080,360
467,13995,810720,1800
468,14025,800640,720
469,14055,792720,1080
470,14085,779760,0
471,14115,773640,360
472,14145,765360,2160
473,14175,754560,360
474,14205,747360,0
475,14235,739440,0
476,14265,735120,360
477,14295,723240,1080
478,14325,714600,1440
479,14355,704880,0
480,14385,696240,360
481,14415,691920,0
482,14445,682200,720
483,14475,674280,0
484,14505,667080,1080
485,14535,659880,1080
486,14565,653400,0
487,14595,645480,1080
488,14625,639720,360
489,14655,627840,360
490,14685,627840,0
491,14715,620280,0
492,14745,610920,720
493,14775,602280,1080
494,14805,594360,1800
495,14835,589320,2880
496,14865,582840,360
497,14895,577080,1800
498,14925,571680,0
499,14955,565920,2160
500,14985,560520,720
501,15015,550440,1080
502,15045,544680,0
503,15075,541800,0
504,15105,532080,3960
505,15135,527040,2520
506,15165,515880,360
507,15195,514080,0
508,15225,510840,1440
509,15255,503280,1080
510,15285,498240,0
511,15315,491040,0
The following results are multiplied by 360 such that they apply to the entire Galaxy
Number of TypeII: 9483840 Number of TypeIa: 1017000 Total Sterilizations SNII: 239975640 Total Sterilizations Ia: 152294760 Total stellar mass: 1.37997e+09Number of SNII: 6586560
Number of SNIa: 627840
