column_number, radial distance, total stars, total sterilizations- at least sterilized once
416,12465,1418400,3240
417,12495,1407600,1440
418,12525,1393920,4320
419,12555,1377720,6120
420,12585,1361160,7560
421,12615,1345680,2520
422,12645,1330920,1440
423,12675,1317240,2520
424,12705,1300680,5760
425,12735,1290240,5040
426,12765,1271160,720
427,12795,1256760,9000
428,12825,1247400,2520
429,12855,1235160,1440
430,12885,1220040,5400
431,12915,1201320,1800
432,12945,1190160,3240
433,12975,1177560,720
434,13005,1168560,2880
435,13035,1152720,2520
436,13065,1138320,7200
437,13095,1129680,3960
438,13125,1116000,1080
439,13155,1105560,2520
440,13185,1087920,7560
441,13215,1081440,2880
442,13245,1066680,360
443,13275,1055160,1080
444,13305,1046160,360
445,13335,1033920,360
446,13365,1020600,2520
447,13395,1009440,1080
448,13425,996480,5400
449,13455,990360,4320
450,13485,976680,1080
451,13515,968040,6480
452,13545,954360,0
453,13575,942840,0
454,13605,937800,1080
455,13635,925560,1440
456,13665,914040,360
457,13695,902880,720
458,13725,894600,1800
459,13755,881280,6480
460,13785,876960,1080
461,13815,865080,1800
462,13845,852480,0
463,13875,846720,1800
464,13905,837360,3240
465,13935,830520,2160
466,13965,820080,2160
467,13995,810720,2160
468,14025,800640,1800
469,14055,792720,1080
470,14085,779760,0
471,14115,773640,360
472,14145,765360,2160
473,14175,754560,360
474,14205,747360,0
475,14235,739440,0
476,14265,735120,360
477,14295,723240,720
478,14325,714600,1440
479,14355,704880,0
480,14385,696240,360
481,14415,691920,0
482,14445,682200,720
483,14475,674280,360
484,14505,667080,1440
485,14535,659880,1080
486,14565,653400,0
487,14595,645480,1080
488,14625,639720,360
489,14655,627840,360
490,14685,627840,0
491,14715,620280,0
492,14745,610920,720
493,14775,602280,1080
494,14805,594360,1800
495,14835,589320,2880
496,14865,582840,360
497,14895,577080,1800
498,14925,571680,0
499,14955,565920,2160
500,14985,560520,720
501,15015,550440,1080
502,15045,544680,1080
503,15075,541800,360
504,15105,532080,3960
505,15135,527040,2880
506,15165,515880,360
507,15195,514080,0
508,15225,510840,1440
509,15255,503280,2880
510,15285,498240,0
511,15315,491040,0
The following results are multiplied by 360 such that they apply to the entire Galaxy
Number of TypeII: 9483840 Number of TypeIa: 1017000 Total Sterilizations SNII: 661632840 Total Sterilizations Ia: 444807000 Total stellar mass: 1.37997e+09Number of SNII: 6586560
Number of SNIa: 627840
